Estrazione del 2021-01-10  Orario: 14:46
Bari 13 78 57 16 30 
Cagliari 61 73 77 59 24 
Firenze 72 49 53 64 15 
Genova 36 47 74 52 70 
Milano 30 46 25 88 40 
Napoli 21 65 44 51 57 
Palermo 35 63 45 53 78 
Roma 36 75 22 23 43 
Torino 45 56 53 7 81 
Venezia 29 4 37 13 56 
Nazionale 69 4 63 3 53 
Estrazione del 2021-01-10  Orario: 14:52
Bari 82 6 80 28 41 
Cagliari 51 11 86 21 42 
Firenze 12 52 50 65 66 
Genova 1 37 62 30 36 
Milano 76 21 35 78 68 
Napoli 4 77 65 26 47 
Palermo 32 15 75 35 65 
Roma 85 82 47 88 4 
Torino 61 9 15 35 36 
Venezia 16 34 59 7 69 
Nazionale 6 80 13 84 57 
Estrazione del 2021-01-10  Orario: 14:52
Bari 13 74 24 77 62 
Cagliari 39 54 19 48 46 
Firenze 36 25 87 49 43 
Genova 22 8 48 9 55 
Milano 11 22 26 44 18 
Napoli 35 32 43 80 55 
Palermo 55 64 41 42 87 
Roma 79 57 15 88 64 
Torino 13 22 60 23 26 
Venezia 82 73 90 46 45 
Nazionale 73 72 88 9 51 
Estrazione del 2021-01-10  Orario: 15:18
Bari 29 48 58 63 85 
Cagliari 48 79 39 41 58 
Firenze 15 81 47 78 54 
Genova 45 52 64 14 5 
Milano 15 2 33 85 1 
Napoli 72 30 50 46 33 
Palermo 35 75 42 54 9 
Roma 37 63 49 75 13 
Torino 69 89 4 25 76 
Venezia 19 69 89 45 44 
Nazionale 3 21 7 88 68 
Estrazione del 2021-01-10  Orario: 15:18
Bari 46 9 24 29 39 
Cagliari 58 12 11 62 29 
Firenze 19 34 48 11 23 
Genova 24 72 9 26 74 
Milano 87 15 21 18 74 
Napoli 31 16 22 18 84 
Palermo 67 78 39 90 69 
Roma 39 57 80 50 70 
Torino 68 76 80 40 8 
Venezia 13 73 68 1 56 
Nazionale 65 15 38 82 88 
Estrazione del 2021-01-10  Orario: 15:32
Bari 49 71 62 38 14 
Cagliari 33 30 53 34 54 
Firenze 55 90 45 36 25 
Genova 25 90 77 22 2 
Milano 12 16 3 84 34 
Napoli 67 63 54 56 69 
Palermo 29 14 49 52 13 
